season,date,match_name,home_team,away_team,winner,home_score,away_score,h_odd,d_odd,a_odd,h_match_points,a_match_points,ht_rank,ht_ls_rank,ht_days_ls_match,ht_points,ht_l_points,ht_l_wavg_points,ht_goals,ht_l_goals,ht_l_wavg_goals,ht_goals_sf,ht_l_goals_sf,ht_l_wavg_goals_sf,ht_wins,ht_draws,ht_losses,ht_win_streak,ht_loss_streak,ht_draw_streak,at_rank,at_ls_rank,at_days_ls_match,at_points,at_l_points,at_l_wavg_points,at_goals,at_l_goals,at_l_wavg_goals,at_goals_sf,at_l_goals_sf,at_l_wavg_goals_sf,at_wins,at_draws,at_losses,at_win_streak,at_loss_streak,at_draw_streak,ls_winner
2021,2021-08-13,Valencia - Getafe,Valencia , Getafe,HOME_TEAM,1,0,2.55,3.0,3.1,3,0,13,11.0,33.0,1,0.3333333333333333,1.0,3,1.0,3.0,3,1.0,3.0,0,1,0,0,0,1,37,36.0,33.0,0,0.0,0.0,0,0.0,0.0,1,0.0,1.0,0,0,1,0,1,0,AWAY_TEAM
2021,2021-08-14,Cadiz - Levante,Cadiz , Levante,DRAW,1,1,2.8,3.25,2.6,1,1,36,27.0,185.0,1,0.3333333333333333,1.0,0,0.0,0.0,0,0.0,0.0,0,1,0,0,0,1,40,29.0,64.0,0,0.0,0.0,1,0.3333333333333333,0.5,3,0.3333333333333333,1.5,0,0,2,0,2,0,AWAY_TEAM
2021,2021-08-14,Mallorca - Betis,Mallorca , Betis,DRAW,1,1,3.3,3.4,2.2,1,1,24,,34.0,4,1.3333333333333333,2.0,3,1.0,1.5,2,0.6666666666666666,1.0,1,1,0,0,0,1,9,19.0,124.0,3,1.0,1.5,1,0.3333333333333333,0.5,2,0.3333333333333333,1.0,1,0,1,1,0,0,AWAY_TEAM
2021,2021-08-14,Alaves - Real Madrid,Alaves , Real Madrid,AWAY_TEAM,1,4,7.0,4.75,1.44,0,3,26,22.0,64.0,3,1.0,3.0,2,0.6666666666666666,2.0,1,0.3333333333333333,1.0,1,0,0,1,0,0,4,4.0,124.0,3,1.0,1.5,3,1.0,1.5,2,1.0,1.0,1,0,1,1,0,0,AWAY_TEAM
2021,2021-08-14,Osasuna - Espanol,Osasuna , Espanol,DRAW,0,0,2.25,3.2,3.4,1,1,29,18.0,34.0,3,1.0,1.5,1,0.3333333333333333,0.5,2,0.6666666666666666,1.0,1,0,1,0,1,0,35,,94.0,0,0.0,0.0,0,0.0,0.0,1,0.0,1.0,0,0,1,0,1,0,AWAY_TEAM
2021,2021-08-15,Celta - Ath Madrid,Celta , Ath Madrid,AWAY_TEAM,1,2,4.2,3.4,1.9,0,3,28,15.0,65.0,1,0.3333333333333333,0.5,4,1.3333333333333333,2.0,5,1.6666666666666667,2.5,0,1,1,0,0,1,18,7.0,35.0,1,0.3333333333333333,1.0,3,1.0,3.0,3,1.0,3.0,0,1,0,0,0,1,AWAY_TEAM
2021,2021-08-15,Barcelona - Sociedad,Barcelona , Sociedad,HOME_TEAM,4,2,1.72,4.0,4.5,3,0,8,6.0,125.0,0,0.0,0.0,0,0.0,0.0,1,0.3333333333333333,1.0,0,0,1,0,1,0,20,16.0,35.0,4,1.3333333333333333,2.0,3,1.0,1.5,1,1.0,0.5,1,1,0,1,0,0,AWAY_TEAM
2021,2021-08-15,Sevilla - Vallecano,Sevilla , Vallecano,HOME_TEAM,3,0,1.44,4.2,8.0,3,0,1,2.0,125.0,3,1.0,3.0,1,0.3333333333333333,1.0,0,0.0,0.0,1,0,0,1,0,0,38,,65.0,0,0.0,0.0,1,0.3333333333333333,0.5,3,0.3333333333333333,1.5,0,0,2,0,2,0,AWAY_TEAM
2021,2021-08-16,Villarreal - Granada,Villarreal , Granada,DRAW,0,0,1.53,4.2,6.5,1,1,5,14.0,36.0,6,2.0,3.0,3,1.0,1.5,0,0.0,0.0,2,0,0,2,0,0,31,34.0,66.0,3,1.0,1.5,3,1.0,1.5,2,1.0,1.0,1,0,1,0,1,0,AWAY_TEAM
2021,2021-08-16,Elche - Ath Bilbao,Elche , Ath Bilbao,DRAW,0,0,3.8,3.3,2.05,1,1,23,25.0,96.0,6,2.0,3.0,4,1.3333333333333333,2.0,1,0.3333333333333333,0.5,2,0,0,2,0,0,15,31.0,65.0,1,0.3333333333333333,0.5,0,0.0,0.0,1,0.0,0.5,0,1,1,0,0,1,AWAY_TEAM
2021,2021-08-20,Betis - Cadiz,Betis , Cadiz,DRAW,1,1,1.5,4.2,7.0,1,1,7,8.0,40.0,0,0.0,0.0,0,0.0,0.0,2,0.6666666666666666,2.0,0,0,1,0,1,0,27,23.0,100.0,3,1.0,1.5,2,0.6666666666666666,1.0,3,0.6666666666666666,1.5,1,0,1,0,1,0,AWAY_TEAM
2021,2021-08-21,Alaves - Mallorca,Alaves , Mallorca,AWAY_TEAM,0,1,2.25,3.2,3.4,0,3,26,22.0,7.0,3,1.0,1.5,3,1.0,1.5,5,1.6666666666666667,2.5,1,0,1,0,1,0,34,,131.0,3,1.0,3.0,2,0.6666666666666666,2.0,1,0.6666666666666666,1.0,1,0,0,1,0,0,AWAY_TEAM
2021,2021-08-21,Espanol - Villarreal,Espanol , Villarreal,DRAW,0,0,3.1,3.4,2.3,1,1,10,,71.0,6,2.0,3.0,4,1.3333333333333333,2.0,1,0.3333333333333333,0.5,2,0,0,2,0,0,33,17.0,131.0,0,0.0,0.0,0,0.0,0.0,1,0.0,1.0,0,0,1,0,1,0,AWAY_TEAM
2021,2021-08-21,Granada - Valencia,Granada , Valencia,DRAW,1,1,2.45,3.4,2.87,1,1,21,12.0,162.0,6,2.0,3.0,3,1.0,1.5,1,0.3333333333333333,0.5,2,0,0,2,0,0,25,39.0,101.0,4,1.3333333333333333,2.0,2,0.6666666666666666,1.0,1,0.6666666666666666,0.5,1,1,0,1,0,0,AWAY_TEAM
2021,2021-08-21,Ath Bilbao - Barcelona,Ath Bilbao , Barcelona,DRAW,1,1,4.0,3.75,1.85,1,1,22,13.0,102.0,3,1.0,1.5,1,0.3333333333333333,0.5,1,0.3333333333333333,0.5,1,0,1,0,1,0,19,5.0,71.0,1,0.3333333333333333,0.5,3,1.0,1.5,5,1.0,2.5,0,1,1,0,0,1,AWAY_TEAM
2021,2021-08-22,Sociedad - Vallecano,Sociedad , Vallecano,HOME_TEAM,1,0,1.44,4.33,7.5,3,0,12,10.0,132.0,0,0.0,0.0,0,0.0,0.0,2,0.6666666666666666,2.0,0,0,1,0,1,0,38,,7.0,0,0.0,0.0,1,0.3333333333333333,0.25,6,0.3333333333333333,2.25,0,0,3,0,3,0,AWAY_TEAM
2021,2021-08-22,Ath Madrid - Elche,Ath Madrid , Elche,HOME_TEAM,1,0,1.22,5.75,17.0,3,0,6,1.0,132.0,3,1.0,1.5,3,1.0,1.5,2,0.6666666666666666,1.0,1,0,1,0,1,0,32,38.0,42.0,1,0.3333333333333333,1.0,2,0.6666666666666666,2.0,2,0.6666666666666666,2.0,0,1,0,0,0,1,AWAY_TEAM
2021,2021-08-22,Levante - Real Madrid,Levante , Real Madrid,DRAW,3,3,5.0,4.33,1.6,1,1,30,21.0,102.0,1,0.3333333333333333,0.5,0,0.0,0.0,3,1.0,1.5,0,1,1,0,0,1,4,4.0,8.0,6,2.0,2.25,7,2.3333333333333335,2.75,3,2.3333333333333335,1.0,2,0,1,2,0,0,AWAY_TEAM
2021,2021-08-23,Getafe - Sevilla,Getafe , Sevilla,AWAY_TEAM,0,1,3.5,3.2,2.2,0,3,14,20.0,72.0,2,0.6666666666666666,1.0,1,0.3333333333333333,0.5,1,0.3333333333333333,0.5,0,2,0,0,0,2,11,9.0,43.0,3,1.0,1.5,2,0.6666666666666666,1.0,1,0.6666666666666666,0.5,1,0,1,1,0,0,AWAY_TEAM
2021,2021-08-23,Osasuna - Celta,Osasuna , Celta,DRAW,0,0,2.62,3.25,2.75,1,1,29,18.0,9.0,4,1.3333333333333333,1.25,1,0.3333333333333333,0.25,2,0.6666666666666666,0.5,1,1,1,0,0,1,17,24.0,166.0,1,0.3333333333333333,0.5,0,0.0,0.0,1,0.0,0.5,0,1,1,0,1,0,AWAY_TEAM
2021,2021-08-27,Mallorca - Espanol,Mallorca , Espanol,HOME_TEAM,1,0,2.6,2.9,3.1,3,0,24,,13.0,5,1.6666666666666667,1.5,4,1.3333333333333333,1.25,3,1.0,1.0,1,2,0,0,0,2,35,,13.0,1,0.3333333333333333,0.5,0,0.0,0.0,1,0.0,0.5,0,1,1,0,0,1,AWAY_TEAM
2021,2021-08-27,Valencia - Alaves,Valencia , Alaves,HOME_TEAM,3,0,1.75,3.6,4.75,3,0,13,11.0,14.0,4,1.3333333333333333,2.0,4,1.3333333333333333,2.0,3,1.0,1.5,1,1,0,1,0,0,39,35.0,168.0,0,0.0,0.0,1,0.3333333333333333,0.5,3,0.3333333333333333,1.5,0,0,2,0,2,0,AWAY_TEAM
2021,2021-08-28,Celta - Ath Bilbao,Celta , Ath Bilbao,AWAY_TEAM,0,1,2.4,3.2,3.1,0,3,28,15.0,13.0,1,0.3333333333333333,0.25,5,1.6666666666666667,1.5,7,2.3333333333333335,2.25,0,1,2,0,1,0,15,31.0,12.0,2,0.6666666666666666,0.75,0,0.0,0.0,1,0.0,0.25,0,2,1,0,0,2,AWAY_TEAM
2021,2021-08-28,Elche - Sevilla,Elche , Sevilla,DRAW,1,1,5.0,3.6,1.72,1,1,23,25.0,12.0,7,2.3333333333333335,2.0,4,1.3333333333333333,1.0,1,0.3333333333333333,0.25,2,1,0,0,0,1,11,9.0,5.0,6,2.0,2.25,3,1.0,1.0,1,1.0,0.25,2,0,1,2,0,0,AWAY_TEAM
2021,2021-08-28,Sociedad - Levante,Sociedad , Levante,HOME_TEAM,1,0,1.53,4.2,6.0,3,0,12,10.0,6.0,3,1.0,1.5,1,0.3333333333333333,0.5,2,0.6666666666666666,1.0,1,0,1,1,0,0,40,29.0,14.0,1,0.3333333333333333,0.5,2,0.6666666666666666,0.75,4,0.6666666666666666,1.25,0,1,2,0,0,1,AWAY_TEAM
2021,2021-08-28,Betis - Real Madrid,Betis , Real Madrid,AWAY_TEAM,0,1,4.2,3.8,1.8,0,3,7,8.0,8.0,1,0.3333333333333333,0.5,1,0.3333333333333333,0.5,3,1.0,1.5,0,1,1,0,0,1,4,4.0,6.0,7,2.3333333333333335,1.625,10,3.3333333333333335,2.875,6,3.3333333333333335,2.0,2,1,1,0,0,1,AWAY_TEAM
2021,2021-08-29,Barcelona - Getafe,Barcelona , Getafe,HOME_TEAM,2,1,1.4,4.75,7.5,3,0,8,6.0,14.0,3,1.0,1.5,4,1.3333333333333333,2.0,3,1.0,1.5,1,0,1,1,0,0,37,36.0,16.0,0,0.0,0.0,0,0.0,0.0,2,0.0,1.0,0,0,2,0,2,0,AWAY_TEAM
2021,2021-08-29,Cadiz - Osasuna,Cadiz , Osasuna,AWAY_TEAM,2,3,3.2,3.0,2.45,0,3,36,27.0,15.0,2,0.6666666666666666,1.0,1,0.3333333333333333,0.5,1,0.3333333333333333,0.5,0,2,0,0,0,2,16,28.0,109.0,1,0.3333333333333333,1.0,0,0.0,0.0,0,0.0,0.0,0,1,0,0,0,1,AWAY_TEAM
2021,2021-08-29,Vallecano - Granada,Vallecano , Granada,HOME_TEAM,4,0,2.55,3.2,2.87,3,0,2,,109.0,4,1.3333333333333333,2.0,1,0.3333333333333333,0.5,0,0.0,0.0,1,1,0,1,0,0,31,34.0,13.0,4,1.3333333333333333,1.25,3,1.0,0.75,2,1.0,0.5,1,1,1,0,0,1,
2021,2021-08-29,Ath Madrid - Villarreal,Ath Madrid , Villarreal,DRAW,2,2,1.75,3.4,5.25,1,1,6,1.0,7.0,6,2.0,2.25,4,1.3333333333333333,1.25,2,0.6666666666666666,0.5,2,0,1,1,0,0,33,17.0,8.0,1,0.3333333333333333,0.5,0,0.0,0.0,1,0.0,0.5,0,1,1,0,0,1,AWAY_TEAM
2021,2021-11-09,Levante - Vallecano,Levante , Vallecano,DRAW,1,1,2.1,3.4,3.5,1,1,30,21.0,12.0,4,0.6666666666666666,0.84375,5,1.6666666666666667,1.1875,10,3.3333333333333335,1.53125,0,4,2,0,0,2,38,,16.0,3,1.0,0.75,5,1.6666666666666667,1.53125,11,1.6666666666666667,2.15625,1,0,5,0,1,0,AWAY_TEAM
2021,2021-11-09,Ath Bilbao - Mallorca,Ath Bilbao , Mallorca,HOME_TEAM,2,0,1.72,3.6,5.25,3,0,22,13.0,17.0,7,1.3333333333333333,1.8125,5,1.6666666666666667,1.4375,5,1.6666666666666667,1.1875,2,1,2,1,0,0,34,,9.0,8,0.6666666666666666,0.9375,7,2.3333333333333335,1.15625,11,2.3333333333333335,1.53125,2,2,2,0,0,2,AWAY_TEAM
2021,2021-12-09,Espanol - Ath Madrid,Espanol , Ath Madrid,AWAY_TEAM,1,2,4.33,3.3,1.9,0,3,10,,11.0,20,2.3333333333333335,2.71875,13,4.333333333333333,1.8125,5,1.6666666666666667,0.8828125,6,2,0,2,0,0,18,7.0,11.0,11,1.3333333333333333,2.0625,13,4.333333333333333,2.78125,9,4.333333333333333,1.3125,3,2,1,1,0,0,AWAY_TEAM
