season,date,match_name,home_team,away_team,winner,home_score,away_score,h_odd,d_odd,a_odd,h_match_points,a_match_points,ht_rank,ht_ls_rank,ht_days_ls_match,ht_points,ht_l_points,ht_l_wavg_points,ht_goals,ht_l_goals,ht_l_wavg_goals,ht_goals_sf,ht_l_goals_sf,ht_l_wavg_goals_sf,ht_wins,ht_draws,ht_losses,ht_win_streak,ht_loss_streak,ht_draw_streak,at_rank,at_ls_rank,at_days_ls_match,at_points,at_l_points,at_l_wavg_points,at_goals,at_l_goals,at_l_wavg_goals,at_goals_sf,at_l_goals_sf,at_l_wavg_goals_sf,at_wins,at_draws,at_losses,at_win_streak,at_loss_streak,at_draw_streak,ls_winner
2020,2021-05-23,Granada - Getafe,Granada , Getafe,DRAW,0,0,2.7,3.35,2.6,1,1,29,15.0,10.0,7,0.3333333333333333,0.234375,3,1.0,0.072265625,7,2.3333333333333335,1.337890625,0,7,3,0,2,0,36,14.0,11.0,6,0.3333333333333333,0.369140625,1,0.3333333333333333,0.125,5,0.3333333333333333,0.755859375,0,6,4,0,1,0,AWAY_TEAM
2020,2021-05-23,Sevilla - Alaves,Sevilla , Alaves,DRAW,0,0,1.5,4.8,6.0,1,1,11,17.0,11.0,13,1.6666666666666667,1.3427734375,4,1.3333333333333333,0.1953125,4,1.3333333333333333,0.0400390625,2,7,2,0,0,2,23,40.0,12.0,15,1.3333333333333333,1.8505859375,7,2.3333333333333335,0.638671875,7,2.3333333333333335,0.3154296875,4,3,4,1,0,0,DRAW
2020,2021-05-22,Celta - Betis,Celta , Betis,HOME_TEAM,1,0,3.25,3.85,2.05,3,0,6,30.0,10.0,13,1.3333333333333333,1.9013671875,6,2.0,0.6650390625,7,2.3333333333333335,0.2685546875,3,4,4,1,0,0,31,37.0,9.0,14,1.3333333333333333,1.9248046875,4,1.3333333333333333,0.541015625,7,1.3333333333333333,0.1669921875,3,5,3,1,0,0,HOME_TEAM
2020,2021-05-22,Eibar - Barcelona,Eibar , Barcelona,DRAW,0,0,4.3,4.4,1.67,1,1,39,24.0,9.0,8,1.0,0.8642578125,2,0.6666666666666666,0.28125,8,2.6666666666666665,0.7998046875,1,5,5,0,1,0,4,7.0,11.0,17,2.3333333333333335,2.4140625,7,2.3333333333333335,1.345703125,3,2.3333333333333335,0.02734375,5,2,3,1,0,0,AWAY_TEAM
2020,2021-05-22,Elche - Ath Bilbao,Elche , Ath Bilbao,HOME_TEAM,1,0,1.95,3.65,3.8,3,0,21,,11.0,13,0.3333333333333333,0.3828125,5,1.6666666666666667,0.09375,5,1.6666666666666667,0.8203125,3,4,3,0,2,0,25,12.0,10.0,16,1.0,1.0126953125,6,2.0,0.11767578125,3,2.0,0.09765625,3,7,2,0,0,4,
2020,2021-05-22,Huesca - Valencia,Huesca , Valencia,DRAW,0,0,1.63,4.3,4.9,1,1,28,,10.0,10,1.0,1.0556640625,5,1.6666666666666667,0.21875,6,2.0,0.1630859375,1,7,3,0,0,4,40,38.0,10.0,3,0.3333333333333333,0.505859375,1,0.3333333333333333,0.00390625,11,0.3333333333333333,0.583984375,0,3,7,0,0,1,AWAY_TEAM
2020,2021-05-22,Osasuna - Sociedad,Osasuna , Sociedad,DRAW,0,0,5.25,4.2,1.63,1,1,19,31.0,11.0,10,1.3333333333333333,1.79296875,4,1.3333333333333333,0.53515625,6,2.0,0.244140625,2,4,4,1,0,0,15,21.0,10.0,14,0.6666666666666666,0.583984375,4,1.3333333333333333,0.05078125,3,1.3333333333333333,1.001953125,3,5,2,0,1,0,
2020,2021-05-22,Real Madrid - Villarreal,Real Madrid , Villarreal,AWAY_TEAM,0,1,1.43,5.25,6.0,0,3,10,2.0,13.0,11,0.6666666666666666,0.560546875,4,1.3333333333333333,0.0703125,3,1.0,0.509765625,2,5,3,0,1,0,3,11.0,9.0,17,2.3333333333333335,1.826171875,9,3.0,0.78125,7,3.0,0.09375,4,5,1,0,0,1,HOME_TEAM
2020,2021-05-22,Valladolid - Ath Madrid,Valladolid , Ath Madrid,HOME_TEAM,1,0,8.75,5.25,1.35,3,0,14,23.0,9.0,18,1.6666666666666667,1.3916015625,6,2.0,0.2607421875,3,1.0,0.0654296875,4,6,1,0,0,2,13,13.0,14.0,18,1.6666666666666667,1.63671875,5,1.6666666666666667,0.349609375,1,1.6666666666666667,0.03125,4,6,0,0,0,1,DRAW
2020,2021-05-21,Levante - Cadiz,Levante , Cadiz,AWAY_TEAM,1,2,1.83,3.95,4.0,0,3,22,22.0,10.0,13,2.0,1.259765625,5,1.6666666666666667,0.4609375,6,2.0,1.083984375,3,4,3,0,1,0,32,,10.0,13,1.0,0.7607421875,5,1.6666666666666667,0.25537109375,9,1.6666666666666667,0.765625,4,1,7,0,1,0,
2020,2021-05-16,Alaves - Granada,Alaves , Granada,HOME_TEAM,2,1,1.83,3.6,4.4,3,0,18,35.0,8.0,14,1.3333333333333333,1.0859375,5,1.6666666666666667,0.828125,3,1.0,1.0078125,3,5,2,0,1,0,38,19.0,6.0,8,0.0,0.064453125,5,1.6666666666666667,0.115234375,11,1.6666666666666667,1.126953125,2,2,6,0,4,0,AWAY_TEAM
2020,2021-05-16,Ath Bilbao - Real Madrid,Ath Bilbao , Real Madrid,DRAW,0,0,5.5,4.2,1.6,1,1,12,8.0,8.0,14,1.6666666666666667,1.3359375,7,2.3333333333333335,1.0,4,1.3333333333333333,0.8203125,3,5,1,0,0,2,7,9.0,3.0,16,2.0,2.4013671875,9,3.0,1.5302734375,7,3.0,0.396484375,4,4,3,2,0,0,DRAW
2020,2021-05-16,Ath Madrid - Osasuna,Ath Madrid , Osasuna,DRAW,0,0,1.25,5.75,14.0,1,1,1,6.0,4.0,20,1.6666666666666667,2.119140625,9,3.0,1.2197265625,3,1.0,0.171875,5,5,1,1,0,0,17,34.0,8.0,12,1.0,0.994140625,2,0.6666666666666666,0.5009765625,3,0.6666666666666666,0.515625,1,9,1,0,0,6,
2020,2021-05-16,Barcelona - Celta,Barcelona , Celta,DRAW,1,1,1.25,6.75,10.0,1,1,2,1.0,8.0,20,1.6666666666666667,1.72265625,14,4.666666666666667,0.677734375,4,1.3333333333333333,0.263671875,5,5,0,0,0,1,24,28.0,7.0,13,1.6666666666666667,2.0,10,3.3333333333333335,2.142578125,8,3.3333333333333335,1.14453125,2,7,1,1,0,0,HOME_TEAM
